source_reference_date,source_district_key,source_district_name,target_analysis_region_key,target_analysis_region_name,relationship_type,valid_from,mapping_rationale
2026-06-30,01001,"Flensburg, Stadt",01001,"FLENSBURG,STADT",one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,01002,"Kiel, Landeshauptstadt",01002,"KIEL,STADT",one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,01003,"Lübeck, Hansestadt",01003,"LUEBECK,STADT",one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,01004,"Neumünster, Stadt",01004,"NEUMUENSTER,STADT",one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,01051,Dithmarschen,01051,DITHMARSCHEN,one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,01053,Herzogtum Lauenburg,01053,HERZOGTUM LAUENBURG,one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,01054,Nordfriesland,01054,NORDFRIESLAND,one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,01055,Ostholstein,01055,OSTHOLSTEIN,one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,01056,Pinneberg,01056,PINNEBERG,one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,01057,Plön,01057,PLOEN,one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,01058,Rendsburg-Eckernförde,01058,RENDSBURG-ECKERNFOERDE,one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,01059,Schleswig-Flensburg,01059,SCHLESWIG-FLENSBURG,one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,01060,Segeberg,01060,SEGEBERG,one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,01061,Steinburg,01061,STEINBURG,one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,01062,Stormarn,01062,STORMARN,one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,02000,"Hamburg, Freie und Hansestadt",02000,HAMBURG,one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,03101,"Braunschweig, Stadt",03101,"BRAUNSCHWEIG,STADT",one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,03102,"Salzgitter, Stadt",03102,"SALZGITTER,STADT",one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,03103,"Wolfsburg, Stadt",03103,"WOLFSBURG,STADT",one-to-one,,Current administrative district corresponds to one KBA analysis region.
